Date,Home_Team,Home_System,Home_Points,Away_Team,Away_System,Away_Points,Period
2/14/2026,West Liberty,40,0.0,Fairmont,31,0.0,1
2/14/2026,West Liberty,40,0.0,Fairmont,11,0.0,1
2/14/2026,West Liberty,60,2.0,Fairmont,61,2.0,1
2/14/2026,West Liberty,41/11/61,2.0,Fairmont,41,2.0,1
2/14/2026,West Liberty,60,2.0,Fairmont,61,2.0,1
2/14/2026,West Liberty,41,0.0,Fairmont,0,0.0,1
2/14/2026,West Liberty,11,0.0,Fairmont,60/60,0.0,1
2/14/2026,West Liberty,70,1.0,Fairmont,70,2.0,1
2/14/2026,West Liberty,31,0.0,Fairmont,41,2.0,1
2/14/2026,West Liberty,60,3.0,Fairmont,11,0.0,1
2/14/2026,West Liberty,70,3.0,Fairmont,41,3.0,1
2/14/2026,West Liberty,60,2.0,Fairmont,0,0.0,1
2/14/2026,West Liberty,31,0.0,Fairmont,0,0.0,1
2/14/2026,West Liberty,40,0.0,Fairmont,61,2.0,1
2/14/2026,West Liberty,0,0.0,Fairmont,31,3.0,1
2/14/2026,West Liberty,70,1.0,Fairmont,0,0.0,1
2/14/2026,West Liberty,60,2.0,Fairmont,11/31,0.0,1
2/14/2026,West Liberty,61,2.0,Fairmont,41,0.0,1
2/14/2026,West Liberty,0,0.0,Fairmont,0,0.0,1
2/14/2026,West Liberty,41,3.0,Fairmont,40,0.0,1
2/14/2026,West Liberty,41,0.0,Fairmont,60/0,0.0,1
2/14/2026,West Liberty,41/31,2.0,Fairmont,0,0.0,1
2/14/2026,West Liberty,31,0.0,Fairmont,31,0.0,1
2/14/2026,West Liberty,0,0.0,Fairmont,61,2.0,1
2/14/2026,West Liberty,41,3.0,Fairmont,0,0.0,1
2/14/2026,West Liberty,0,0.0,Fairmont,70,2.0,1
2/14/2026,West Liberty,11/30,0.0,Fairmont,41,3.0,1
2/14/2026,West Liberty,11,0.0,Fairmont,60,0.0,1
2/14/2026,West Liberty,41,3.0,Fairmont,31,2.0,1
2/14/2026,West Liberty,31,0.0,Fairmont,11,0.0,1
2/14/2026,West Liberty,70,1.0,Fairmont,31,0.0,1
2/14/2026,West Liberty,41,3.0,Fairmont,31/41,0.0,1
2/14/2026,West Liberty,0,0.0,Fairmont,31,2.0,1
2/14/2026,West Liberty,31,0.0,Fairmont,41,3.0,1
2/14/2026,West Liberty,40,0.0,Fairmont,0,0.0,1
2/14/2026,West Liberty,41,0.0,Fairmont,,,1
2/14/2026,West Liberty,,,Fairmont,0,0.0,2
2/14/2026,West Liberty,70,2.0,Fairmont,41,2.0,2
2/14/2026,West Liberty,0,0.0,Fairmont,60,3.0,2
2/14/2026,West Liberty,31,0.0,Fairmont,61/61,2.0,2
2/14/2026,West Liberty,31,0.0,Fairmont,0,0.0,2
2/14/2026,West Liberty,70,1.0,Fairmont,41,3.0,2
2/14/2026,West Liberty,41/60,2.0,Fairmont,0,0.0,2
2/14/2026,West Liberty,41,3.0,Fairmont,70,3.0,2
2/14/2026,West Liberty,31,0.0,Fairmont,41,0.0,2
2/14/2026,West Liberty,41,3.0,Fairmont,40,0.0,2
2/14/2026,West Liberty,70,1.0,Fairmont,11,0.0,2
2/14/2026,West Liberty,70,1.0,Fairmont,31,3.0,2
2/14/2026,West Liberty,41,0.0,Fairmont,41,0.0,2
2/14/2026,West Liberty,70,2.0,Fairmont,70,3.0,2
2/14/2026,West Liberty,41,3.0,Fairmont,31/61,2.0,2
2/14/2026,West Liberty,70,2.0,Fairmont,61,2.0,2
2/14/2026,West Liberty,41,3.0,Fairmont,60,2.0,2
2/14/2026,West Liberty,11,0.0,Fairmont,11/60,2.0,2
2/14/2026,West Liberty,0,0.0,Fairmont,41,3.0,2
2/14/2026,West Liberty,70,3.0,Fairmont,60,0.0,2
2/14/2026,West Liberty,70,1.0,Fairmont,,,2
2/14/2026,West Liberty,/60/0,0.0,Fairmont,61,2.0,2
2/14/2026,West Liberty,61,3.0,Fairmont,31,0.0,2
2/14/2026,West Liberty,70,2.0,Fairmont,41,0.0,2
2/14/2026,West Liberty,0,0.0,Fairmont,31/61,2.0,2
2/14/2026,West Liberty,61,2.0,Fairmont,61,0.0,2
2/14/2026,West Liberty,70,2.0,Fairmont,41,0.0,2
2/14/2026,West Liberty,60,2.0,Fairmont,0,0.0,2
2/14/2026,West Liberty,61,3.0,Fairmont,61,2.0,2
2/14/2026,West Liberty,70,2.0,Fairmont,0,0.0,2
2/14/2026,West Liberty,0,0.0,Fairmont,41,2.0,2
2/14/2026,West Liberty,31,2.0,Fairmont,40,3.0,2
2/14/2026,West Liberty,61,0.0,Fairmont,41,0.0,2
2/14/2026,West Liberty,70,2.0,Fairmont,31/70,0.0,2
2/14/2026,West Liberty,70,2.0,Fairmont,61/60,2.0,2
2/14/2026,West Liberty,70,1.0,Fairmont,110,2.0,2
2/14/2026,West Liberty,70,1.0,Fairmont,70,2.0,2
2/14/2026,West Liberty,61,0.0,Fairmont,0,0.0,2
2/14/2026,West Liberty,61,2.0,Fairmont,40,3.0,2
2/14/2026,West Liberty,61,2.0,Fairmont,0,0.0,2
2/14/2026,West Liberty,70,1.0,Fairmont,70,3.0,2
2/14/2026,West Liberty,70,1.0,Fairmont,60,2.0,2
2/14/2026,West Liberty,0,0.0,Fairmont,70,2.0,2
2/14/2026,West Liberty,70,2.0,Fairmont,31/40/60,2.0,2
2/14/2026,West Liberty,70,2.0,Fairmont,31,0.0,2
